Development,Lot #,Type,Phase,Source,Status,ENT,DEV,HC,BLDR,DIG,CMP,CLS
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 2,sim,OUT,2020-09-01,2028-05-01,,2028-12-01,2028-12-01,2029-06-21,2029-07-31
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 2,sim,OUT,2020-09-01,2028-05-01,,2029-06-01,2029-06-01,2029-10-27,2030-02-14
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 2,sim,OUT,2020-09-01,2028-05-01,,2029-02-01,2029-02-01,2029-08-02,2029-09-22
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 2,sim,OUT,2020-09-01,2028-05-01,,2028-12-01,2028-12-01,2029-06-14,2029-07-22
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 2,sim,OUT,2020-09-01,2028-05-01,,2028-11-01,2028-11-01,2029-04-02,2029-05-13
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 2,sim,OUT,2020-09-01,2028-05-01,,2029-07-01,2029-07-01,2029-12-01,2029-12-17
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 2,sim,OUT,2020-09-01,2028-05-01,,2029-05-01,2029-05-01,2029-10-27,2030-02-18
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 2,sim,OUT,2020-09-01,2028-05-01,,2028-11-01,2028-11-01,2029-04-15,2029-06-11
Waterton Station (SF),,SF,Waterton Station SF ph. 2,sim,OUT,2020-09-01,2026-10-15,,2028-05-01,2028-05-01,2028-09-15,2028-09-21
Waterton Station (SF),,SF,Waterton Station SF ph. 2,sim,OUT,2020-09-01,2026-10-15,,2027-10-01,2027-10-01,2028-04-17,2028-06-12
Waterton Station (SF),,SF,Waterton Station SF ph. 2,sim,OUT,2020-09-01,2026-10-15,,2027-12-01,2027-12-01,2028-05-24,2028-07-16
Waterton Station (SF),,SF,Waterton Station SF ph. 2,sim,OUT,2020-09-01,2026-10-15,,2028-04-01,2028-04-01,2028-10-10,2028-11-09
Waterton Station (SF),,SF,Waterton Station SF ph. 2,sim,OUT,2020-09-01,2026-10-15,,2027-09-01,2027-09-01,2028-03-26,2028-08-08
Waterton Station (SF),,SF,Waterton Station SF ph. 2,sim,OUT,2020-09-01,2026-10-15,,2028-01-01,2028-01-01,2028-07-15,2028-10-16
Waterton Station (SF),,SF,Waterton Station SF ph. 2,sim,OUT,2020-09-01,2026-10-15,,2027-11-01,2027-11-01,2028-05-12,2028-06-18
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-06-01,2030-06-01,2030-12-14,2031-03-25
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2029-12-01,2029-12-01,2030-06-05,2030-06-25
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-03-01,2030-03-01,2030-07-29,2030-09-12
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-06-01,2030-06-01,2030-12-04,2031-02-19
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2029-12-01,2029-12-01,2030-05-16,2030-06-05
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-04-01,2030-04-01,2030-09-16,2030-09-23
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-07-01,2030-07-01,2030-12-02,2031-03-08
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-11-01,2030-11-01,2031-03-21,2031-07-22
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-10-01,2030-10-01,2031-03-09,2031-03-13
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-08-01,2030-08-01,2030-12-24,2031-04-13
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-08-01,2030-08-01,2030-12-17,2031-02-20
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-05-01,2030-05-01,2030-09-15,2030-09-27
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-10-01,2030-10-01,2031-02-20,2031-03-19
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2029-10-01,2029-10-01,2030-02-23,2030-03-21
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-02-01,2030-02-01,2030-08-12,2030-09-11
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-09-01,2030-09-01,2031-02-23,2031-03-05
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-09-01,2030-09-01,2031-02-26,2031-05-21
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2029-11-01,2029-11-01,2030-03-24,2030-04-21
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-07-01,2030-07-01,2030-11-18,2030-11-25
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-01-01,2030-01-01,2030-05-22,2030-07-23
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-03-01,2030-03-01,2030-09-02,2030-10-17
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-04-01,2030-04-01,2030-09-22,2030-09-29
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-11-01,2030-11-01,2031-03-23,2031-04-26
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2030-05-01,2030-05-01,2030-11-03,2031-02-24
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2029-11-01,2029-11-01,2030-04-17,2030-05-04
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 3,sim,OUT,2020-09-01,2029-07-01,,2029-10-01,2029-10-01,2030-03-24,2030-04-22
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-07-01,2031-07-01,2031-12-26,2032-01-15
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-12-01,2031-12-01,2032-05-10,2032-07-05
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-11-01,2031-11-01,2032-04-10,2032-05-10
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-04-01,2031-04-01,2031-09-08,2031-09-10
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-07-01,2031-07-01,2031-11-17,2032-01-23
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2032-01-01,2032-01-01,2032-06-18,2032-06-28
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-09-01,2031-09-01,2032-02-03,2032-06-19
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-10-01,2031-10-01,2032-04-08,2032-04-24
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-12-01,2031-12-01,2032-05-12,2032-08-09
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-10-01,2031-10-01,2032-04-20,2032-07-12
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-01-01,2031-01-01,2031-06-20,2031-06-25
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-02-01,2031-02-01,2031-07-06,2031-08-25
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-11-01,2031-11-01,2032-04-19,2032-04-26
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2030-12-01,2030-12-01,2031-06-01,2031-08-03
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-06-01,2031-06-01,2031-12-04,2032-01-07
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2030-12-01,2030-12-01,2031-05-10,2031-06-28
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-03-01,2031-03-01,2031-07-21,2031-10-30
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-08-01,2031-08-01,2032-02-03,2032-03-31
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-05-01,2031-05-01,2031-10-22,2031-11-10
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-03-01,2031-03-01,2031-07-20,2031-09-10
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-06-01,2031-06-01,2031-11-16,2031-12-06
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-05-01,2031-05-01,2031-10-12,2031-12-20
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2032-02-01,2032-02-01,2032-08-25,2032-08-26
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-09-01,2031-09-01,2032-02-12,2032-03-12
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-04-01,2031-04-01,2031-09-23,2031-10-18
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 4,sim,OUT,2020-09-01,2030-09-01,,2031-08-01,2031-08-01,2032-01-13,2032-03-07
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-10-01,2032-10-01,2033-03-05,2033-04-05
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-08-01,2032-08-01,2033-01-18,2033-01-24
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-11-01,2032-11-01,2033-04-23,2033-06-18
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2033-01-01,2033-01-01,2033-06-25,2033-07-15
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-04-01,2032-04-01,2032-08-16,2032-09-27
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-10-01,2032-10-01,2033-04-04,2033-04-30
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-08-01,2032-08-01,2033-01-05,2033-01-09
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-12-01,2032-12-01,2033-04-27,2033-06-17
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-09-01,2032-09-01,2033-02-16,2033-05-15
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-05-01,2032-05-01,2032-10-29,2033-01-05
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-03-01,2032-03-01,2032-08-27,2032-08-29
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-03-01,2032-03-01,2032-08-17,2032-12-23
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-06-01,2032-06-01,2032-12-12,2033-02-10
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-05-01,2032-05-01,2032-10-22,2032-11-14
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2033-03-01,2033-03-01,2033-08-12,2033-08-30
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2033-03-01,2033-03-01,2033-09-21,2033-10-06
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2033-04-01,2033-04-01,2033-10-02,2033-10-04
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-06-01,2032-06-01,2032-12-17,2033-01-05
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-07-01,2032-07-01,2032-12-21,2033-02-05
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2033-02-01,2033-02-01,2033-07-30,2033-08-23
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-09-01,2032-09-01,2033-02-26,2033-03-29
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-12-01,2032-12-01,2033-05-28,2033-06-06
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-07-01,2032-07-01,2032-11-28,2033-01-21
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-11-01,2032-11-01,2033-05-15,2033-06-04
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2033-04-01,2033-04-01,2033-10-05,2034-01-19
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 5,sim,OUT,2020-09-01,2031-11-01,,2032-04-01,2032-04-01,2032-10-10,2032-11-14
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-07-01,2033-07-01,2033-12-22,2034-01-17
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-05-01,2033-05-01,2033-11-23,2033-12-02
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2034-03-01,2034-03-01,2034-08-19,2034-12-23
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-09-01,2033-09-01,2034-02-02,2034-03-06
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2034-04-01,2034-04-01,2034-09-21,2034-10-13
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-10-01,2033-10-01,2034-02-19,2034-04-06
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2034-05-01,2034-05-01,2034-11-04,2034-11-06
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-06-01,2033-06-01,2033-11-28,2034-03-06
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-08-01,2033-08-01,2034-01-19,2034-03-17
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2034-01-01,2034-01-01,2034-07-17,2034-07-23
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-05-01,2033-05-01,2033-09-29,2034-01-22
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2034-04-01,2034-04-01,2034-09-17,2034-12-07
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-08-01,2033-08-01,2034-01-14,2034-03-15
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-06-01,2033-06-01,2033-12-02,2033-12-14
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-11-01,2033-11-01,2034-05-09,2034-08-15
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-10-01,2033-10-01,2034-03-30,2034-06-01
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2034-02-01,2034-02-01,2034-08-06,2034-08-18
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-12-01,2033-12-01,2034-06-01,2034-06-07
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-11-01,2033-11-01,2034-04-29,2034-08-22
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2034-03-01,2034-03-01,2034-07-30,2034-08-20
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-09-01,2033-09-01,2034-01-28,2034-05-13
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-07-01,2033-07-01,2033-12-19,2034-01-17
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2033-12-01,2033-12-01,2034-06-05,2034-10-17
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2034-05-01,2034-05-01,2034-10-31,2034-12-21
Waterton Station (SF),,SF,Waterton Station Site Condo ph. 6,sim,OUT,2020-09-01,2032-11-01,,2034-06-01,2034-06-01,2034-12-26,2035-03-20
